Index|TaxManaged|Tax Exempt|Name|Ticker|Geographical|Asset|AssetClass|ExpenseRatio1|SECYield||YTD|1-year|5-year|10-year|Since inception|FundNo|ExpenseRatio|PurchaseFee|RedemptionFee|MorningstarCategory|BestFitIndex|MinInitialPurchase
Y|N|N|Total Bond Market Index Institutional Plus Shares|VBMPX|US|Bond|Inter-term Investment|0.05|2.07||5.06|4.09|4.18|4.66|5.68%(09/18/1995)|850|0.05|0|0|Intermediate-Term Bond|XIUSA000MC|100,000,000
Y|N|N|Small-Cap Value Index|VISVX|US|Stock|Small-Cap Value|0.24|1.74||8.38|13.61|18.16|9.19|8.70%(05/21/1998)|860|0.24|0|0|Small Value|XIUSA00116|3,000
Y|N|N|Information Technology Index Admiral Shares|VITAX|US|Stock|Sector|0.14|1.25||16.97|23.34|16.59|9.55|8.58%(03/25/2004)|5487|0.14|0|0|Technology|Morningstar SEC/Technology TR USD|100,000
Y|N|N|Russell 1000 Growth Index Institutional Shares|VRGWX|US|Stock|Large-Cap Growth|0.08|1.43||12.61|17.03|—|—|15.84%(12/06/2010)|1850|0.08|0|0|Large Growth|Russell 1000 Growth TR USD|5,000,000
Y|N|N|European Stock Index Institutional Shares|VESIX|Developed|Stock|International|0.09|—||-3.74|-0.55|7.09|6.27|3.98%(05/15/2000)|235|0.09|0|0|Europe Stock|MSCI Europe NR USD|5,000,000
Y|N|N|Total Bond Market Index Admiral Shares|VBTLX|US|Bond|Inter-term Investment|0.08|2.05||5.04|4.07|4.14|4.62|4.67%(11/12/2001)|584|0.08|0|0|Intermediate-Term Bond|XIUSA000MC|10,000
Y|N|N|REIT Index Institutional Shares|VGSNX|US|RealEstate|Sector|0.08|note||24.84|19.15|19.29|9.10|10.33%(12/02/2003)|3123|0.08|0|0|Real Estate|DJ US Select REIT TR USD|5,000,000
Y|N|N|FTSE All-World ex-US Index|VFWIX|Global|Stock|International|0.30|—||-1.24|1.05|6.43|—|1.98%(03/08/2007)|770|0.30|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|3,000
Y|N|N|S&P 500 Growth Index Institutional Shares|VSPGX|US|Stock|Large-Cap Growth|0.08|1.53||—|—|—|—|—(09/09/2010)|1841|0.08|0|0|US Stock|Large-Cap Value|5,000,000
Y|N|N|Mid-Cap Index|VIMSX|US|Stock|Mid-Cap Blend|0.24|1.19||12.41|15.78|18.71|10.20|10.01%(05/21/1998)|859|0.24|0|0|Mid-Cap Blend|XIUSA0010X|3,000
Y|N|N|Large-Cap Index|VLACX|US|Stock|Large-Cap Blend|0.24|1.71||12.68|16.74|16.62|8.44|7.94%(01/30/2004)|307|0.24|0|0|Large Blend|Russell 1000 TR USD|3,000
Y|N|N|FTSE All-World ex-US Index Institutional Plus Shares|VFWPX|Global|Stock|International|0.10|—||-1.06|1.25|—|—|4.59%(12/16/2010)|1866|0.10|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|100,000,000
Y|N|N|Intermediate-Term Government Bond Index Institutional Shares|VIIGX|US|Bond|Inter-term Investment|0.09|1.59||3.83|2.13|—|—|3.93%(03/19/2010)|1643|0.09|0|0|Intermediate Government|XIUSA000MJ|5,000,000
Y|N|N|Long-Term Government Bond Index Admiral Shares|VLGSX|US|Bond|Long-term Investment|0.12|2.84||18.73|12.89|—|—|8.59%(03/01/2010)|1944|0.12|0|0|Long Government|XIUSA000ML|10,000
Y|N|N|500 Index Admiral Shares|VFIAX|US|Stock|Large-Cap Blend|0.05|1.95||13.05|17.21|16.66|8.19|4.92%(11/13/2000)|540|0.05|0|0|Large Blend|XIUSA04G92|10,000
Y|N|N|Developed Markets Index Admiral Shares|VTMGX|Developed|Stock|International|0.09|—||-3.17|0.15|6.96|6.05|4.03%(08/17/1999)|127|0.09|0|0|Foreign Large Blend|MSCI EAFE NR USD|10,000
Y|N|N|Pacific Stock Index Institutional Shares|VPKIX|Asia|Stock|International|0.09|—||-2.45|1.28|7.30|5.78|2.52%(05/15/2000)|237|0.09|0|0|Diversified Pacific/Asia|MSCI Pacific NR USD|5,000,000
Y|N|N|Small-Cap Value Index Institutional Shares|VSIIX|US|Stock|Small-Cap Value|0.08|1.89||8.54|13.76|18.36|9.36|10.77%(12/07/1999)|865|0.08|0|0|Small Value|XIUSA00116|5,000,000
Y|N|N|Emerging Markets Government Bond Index Admiral Shares|VGAVX|Emerging|Bond|Government|0.34|4.68||7.34|5.98|—|—|3.17%(05/31/2013)|520|0.34|0.75|0|Emerging Markets Bond|--|10,000
Y|N|N|S&P Small-Cap 600 Growth Index Institutional Shares|VSGNX|US|Stock|Small-Cap Growth|0.08|0.82||—|—|—|—|—(09/09/2010)|1847|0.08|0|0|US Stock|Large-Cap Value|5,000,000
Y|N|N|Emerging Markets Stock Index|VEIEX|Emerging|Stock|International|0.33|—||4.53|3.59|4.92|10.24|7.21%(05/04/1994)|533|0.33|0|0|Diversified Emerging Mkts|MSCI EM NR USD|3,000
Y|N|N|Institutional Total Stock Market Index Institutional Plus Shares|VITPX|US|Stock|Large-Cap Blend|0.02|1.84||11.83|16.13|17.14|8.81|6.56%(05/31/2001)|871|0.02|0|0|Large Blend|Russell 3000 TR USD|200,000,000
Y|N|N|Long-Term Corporate Bond Index Admiral Shares|VLTCX|US|Bond|Long-term Investment|0.12|4.47||13.06|11.84|—|—|9.05%(01/19/2010)|1947|0.12|1.00|0|Corporate Bond|XIUSA000ME|10,000
Y|N|N|Short-Term Corporate Bond Index Admiral Shares|VSCSX|US|Bond|Short-term Investment|0.12|1.55||1.99|2.05|—|—|2.91%(11/18/2010)|1945|0.12|0|0|Short-Term Bond|XIUSA000CT|10,000
Y|N|N|Pacific Stock Index Admiral Shares|VPADX|Asia|Stock|International|0.12|—||-2.40|1.32|7.27|5.75|5.54%(08/13/2001)|572|0.12|0|0|Diversified Pacific/Asia|MSCI Pacific NR USD|10,000
Y|N|N|REIT Index|VGSIX|US|RealEstate|Sector|0.24|note||24.71|18.94|19.09|8.94|11.11%(05/13/1996)|123|0.24|0|0|Real Estate|DJ US Select REIT TR USD|3,000
Y|N|N|Institutional Index Institutional Shares|VINIX|US|Stock|Large-Cap Blend|0.04|1.96||13.06|17.22|16.67|8.21|9.71%(07/31/1990)|94|0.04|0|0|Large Blend|XIUSA04G92|5,000,000
Y|N|N|Short-Term Inflation-Protected Securities Index Admiral Shares|VTAPX|US|Bond|Short-term Government|0.10|-0.27||0.16|-0.14|—|—|-0.37%(10/16/2012)|567|0.10|0|0|Inflation-Protected Bond|--|10,000
Y|N|N|Value Index Institutional Shares|VIVIX|US|Stock|Large-Cap Value|0.08|2.39||12.47|16.05|15.98|7.89|5.88%(07/02/1998)|867|0.08|0|0|Large Value|Russell 1000 Value TR USD|5,000,000
Y|N|N|Growth Index Admiral Shares|VIGAX|US|Stock|Large-Cap Growth|0.09|1.23||13.21|17.93|17.65|9.24|4.58%(11/13/2000)|509|0.09|0|0|Large Growth|Russell 1000 Growth TR USD|10,000
Y|N|N|Short-Term Government Bond Index Admiral Shares|VSBSX|US|Bond|Short-term Investment|0.12|0.38||0.65|0.54|—|—|1.00%(12/28/2009)|1942|0.12|0|0|Short Government|XIUSA000BV|10,000
Y|N|N|Intermediate-Term Bond Index Institutional Shares|VBIMX|US|Bond|Inter-term Investment|0.07|2.51||6.27|4.59|5.81|—|6.13%(01/26/2006)|504|0.07|0|0|Intermediate-Term Bond|XIUSA000C0|5,000,000
N|N|N|Consumer Discretionary Index Admiral Shares|VCDAX|US|Stock|Consumer|0.14|1.24||5.79|9.10|22.70|—|9.12%(07/14/2005)|5483|0.14|0|0|Consumer Cyclical|S&P 1500 Cons Discretionary TR|100,000
Y|N|N|Small-Cap Growth Index Institutional Shares|VSGIX|US|Stock|Small-Cap Growth|0.08|0.82||2.83|7.34|19.22|10.62|9.30%(05/24/2000)|866|0.08|0|0|Small Growth|Russell 2000 Growth TR USD|5,000,000
Y|N|N|Total Stock Market Index|VTSMX|Global|Stock|Large-Cap Blend|0.17|1.70||11.63|15.92|16.93|8.61|9.58%(04/27/1992)|85|0.17|0|0|Large Blend|Russell 3000 TR USD|3,000
Y|N|N|Health Care Index Admiral Shares|VHCIX|US|Stock|Sector|0.14|1.19||23.43|29.65|22.11|11.82|10.09%(02/05/2004)|5485|0.14|0|0|Health|DJ US Health Care TR USD|100,000
Y|N|N|Russell 1000 Value Index Institutional Shares|VRVIX|US|Stock|Large-Cap Value|0.08|2.26||12.53|16.37|—|—|15.61%(12/10/2010)|1849|0.08|0|0|Large Value|Russell 1000 Value TR USD|5,000,000
Y|N|N|Small-Cap Growth Index|VISGX|US|Stock|Small-Cap Growth|0.24|0.67||2.71|7.17|19.03|10.44|8.63%(05/21/1998)|861|0.24|0|0|Small Growth|Russell 2000 Growth TR USD|3,000
Y|N|N|Short-Term Bond Index Institutional|VBITX|US|Bond|Short-term Investment|0.07|0.97||1.40|1.08|—|—|1.32%(09/27/2011)|732|0.07|0|0|Short-Term Bond|XIUSA000CT|5,000,000
Y|N|N|Total International Stock Index Institutional Plus Shares|VTPSX|Global|Stock|International|0.10|—||-1.28|1.14|—|—|6.06%(11/30/2010)|1870|0.10|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|100,000,000
Y|N|N|Industrials Index Admiral Shares|VINAX|US|Stock|Sector|0.14|1.68||7.81|13.78|19.29|—|7.20%(05/08/2006)|5482|0.14|0|0|Industrials|S&P 1500 Industrials TR|100,000
Y|N|N|Total Bond Market Index Institutional Shares|VBTIX|US|Bond|Inter-term Investment|0.07|2.06||5.05|4.08|4.17|4.65|5.68%(09/18/1995)|222|0.07|0|0|Intermediate-Term Bond|XIUSA000MC|5,000,000
Y|N|N|Mortgage-Backed Securities Index Admiral Shares|VMBSX|US|Bond|Inter-term Government|0.12|1.34||5.31|3.96|—|—|3.34%(12/03/2009)|1948|0.12|0|0|Intermediate-Term Bond|XIUSA000MN|10,000
Y|N|N|Dividend Appreciation Index|VDAIX|US|Stock|Large-Cap Blend|0.20|1.91||8.97|11.09|14.62|—|7.55%(04/27/2006)|602|0.20|0|0|Large Blend|XIUSA04G92|3,000
Y|N|N|Institutional Index Institutional Plus Shares|VIIIX|US|Stock|Large-Cap Blend|0.02|1.98||13.09|17.25|16.69|8.24|6.69%(07/07/1997)|854|0.02|0|0|Large Blend|XIUSA04G92|200,000,000
Y|N|N|S&P Small-Cap 600 Value Index Institutional Shares|VSMVX|US|Stock|Small-Cap Value|0.08|1.54||—|—|—|—|—(09/09/2010)|1846|0.08|0|0|US Stock|Large-Cap Value|5,000,000
Y|N|N|Long-Term Bond Index Institutional Plus|VBLIX|US|Bond|Long-term Investment|0.05|3.95||15.41|13.06|—|—|5.77%(10/06/2011)|1872|0.05|0|0|Long-Term Bond|XIUSA000BM|100,000,000
Y|N|N|Small-Cap Index Institutional Plus Shares|VSCPX|US|Stock|Small-Cap Blend|0.06|1.41||5.90|10.82|—|—|14.39%(12/17/2010)|1861|0.06|0|0|Small Blend|XIUSA0010Y|100,000,000
Y|N|N|Developed Markets Index Institutional Plus Shares|VDIPX|Developed|Stock|International|0.06|—||—|—|—|—|-3.12%(04/01/2014)|1457|0.06|0|0|Foreign Large Blend|--|100,000,000
Y|N|N|Mega Cap Growth Index Institutional Shares|VMGAX|US|Stock|Large-Cap Growth|0.10|1.33||13.23|18.28|17.40|—|10.13%(04/03/2008)|838|0.10|0|0|Large Growth|Russell 1000 Growth TR USD|5,000,000
Y|N|N|Extended Market Index|VEXMX|US|Stock|Mid-Cap Blend|0.24|1.08||5.87|10.88|18.64|10.03|11.08%(12/21/1987)|98|0.24|0|0|Mid-Cap Blend|S&P MidCap 400 TR|3,000
Y|N|N|Intermediate-Term Government Bond Index Admiral Shares|VSIGX|US|Bond|Inter-term Investment|0.12|1.56||3.82|2.12|—|—|2.92%(08/04/2010)|1943|0.12|0|0|Intermediate Government|XIUSA000MJ|10,000
Y|N|N|Global ex-U.S. Real Estate Index |VGXRX|Global|RealEstate|International|0.40|—||3.62|1.91|—|—|6.74%(11/01/2010)|738|0.40|0.25|0.25|Global Real Estate|MSCI World/Real Estate NR USD|3,000
Y|N|N|Total International Stock Index Institutional Shares|VTSNX|Global|Stock|International|0.12|—||-1.29|1.12|—|—|5.73%(11/29/2010)|1869|0.12|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|5,000,000
Y|N|N|European Stock Index Institutional Plus Shares|VEUPX|Developed|Stock|International|0.08|—||—|—|—|—|—(05/17/2013)|1863|0.08|0|0|Europe Stock|--|100,000,000
Y|N|N|Institutional Total Stock Market Index Institutional Shares|VITNX|US|Stock|Large-Cap Blend|0.04|1.82||11.79|16.14|17.13|8.79|7.44%(08/31/2001)|870|0.04|0|0|Large Blend|Russell 3000 TR USD|100,000,000
Y|Y|Y|Tax-Managed Capital Appreciation Admiral Shares|VTCLX|US|Stock|Large-Cap Blend|0.12|1.58||12.15|16.62|16.91|8.71|9.65%(09/06/1994)|5102|0.12|0|0|Large Blend|Russell 1000 TR USD|10,000
Y|N|N|Intermediate-Term Corporate Bond Index Institutional Shares|VICBX|US|Bond|Inter-term Investment|0.09|3.16||6.64|5.86|—|—|6.94%(11/19/2009)|1646|0.09|0.25|0|Corporate Bond|XIUSA000ME|5,000,000
Y|N|N|Short-Term Government Bond Index Institutional Shares|VSBIX|US|Bond|Short-term Investment|0.09|0.41||0.70|0.60|—|—|0.69%(08/23/2010)|1642|0.09|0|0|Short Government|XIUSA000BV|5,000,000
Y|N|N|Russell 3000 Index Institutional Shares|VRTTX|US|Stock|Large-Cap Blend|0.08|1.79||11.70|16.01|—|—|16.61%(11/01/2010)|1854|0.08|0|0|Large Blend|Russell 3000 TR USD|5,000,000
Y|N|N|Long-Term Government Bond Index Institutional Shares|VLGIX|US|Bond|Long-term Investment|0.09|2.87||18.79|12.97|—|—|7.05%(07/30/2010)|1644|0.09|0|0|Long Government|XIUSA000ML|5,000,000
Y|N|N|Mid-Cap Growth Index|VMGIX|US|Stock|Mid-Cap Growth|0.24|0.60||12.70|14.95|18.47|—|8.98%(08/24/2006)|832|0.24|0|0|Mid-Cap Growth|Russell Mid Cap Growth TR USD|3,000
Y|N|N|Growth Index|VIGRX|US|Stock|Large-Cap Growth|0.24|1.09||13.07|17.75|17.48|9.10|9.33%(11/02/1992)|9|0.24|0|0|Large Growth|Russell 1000 Growth TR USD|3,000
Y|N|N|Total Bond Market Index|VBMFX|US|Bond|Inter-term Investment|0.20|1.92||4.92|3.93|4.02|4.51|6.37%(12/11/1986)|84|0.20|0|0|Intermediate-Term Bond|XIUSA000MC|3,000
Y|N|N|Pacific Stock Index Institutional Plus Shares|VPAPX|Asia|Stock|International|0.08|—||—|—|—|—|—(12/13/2010)|1864|0.08|0|0|US Stock|Large-Cap Value|100,000,000
Y|Y|N|Tax-Managed Capital Appreciation Institutional Shares|VTCIX|US|Stock|Large-Cap Blend|0.08|1.62||12.19|16.67|16.96|8.75|5.71%(02/24/1999)|135|0.08|0|0|Large Blend|Russell 1000 TR USD|5,000,000
Y|N|N|Short-Term Bond Index Admiral Shares|VBIRX|US|Bond|Short-term Investment|0.10|0.94||1.38|1.05|2.09|3.28|3.34%(11/12/2001)|5132|0.10|0|0|Short-Term Bond|XIUSA000CT|10,000
Y|N|N|Long-Term Bond Index|VBLTX|US|Bond|Long-term Investment|0.20|3.80||15.25|12.90|8.52|7.01|7.78%(03/01/1994)|522|0.20|0|0|Long-Term Bond|XIUSA000BM|3,000
Y|N|N|S&P Mid-Cap 400 Growth Index Institutional Shares|VMFGX|US|Stock|Mid-Cap Growth|0.08|1.03||6.69|9.98|—|—|12.10%(03/28/2011)|1843|0.08|0|0|Mid-Cap Growth|S&P MidCap 400 TR|5,000,000
Y|N|N|Mid-Cap Index Admiral Shares|VIMAX|US|Stock|Mid-Cap Blend|0.09|1.33||12.56|15.93|18.88|10.34|10.33%(11/12/2001)|5859|0.09|0|0|Mid-Cap Blend|XIUSA0010X|10,000
Y|N|N|Mid-Cap Index Institutional Plus Shares|VMCPX|US|Stock|Mid-Cap Blend|0.06|1.36||12.59|15.97|—|—|15.27%(12/15/2010)|1859|0.06|0|0|Mid-Cap Blend|XIUSA0010X|100,000,000
Y|N|N|Mid-Cap Index Institutional Shares|VMCIX|US|Stock|Mid-Cap Blend|0.08|1.34||12.58|15.93|18.90|10.38|10.18%(05/21/1998)|864|0.08|0|0|Mid-Cap Blend|XIUSA0010X|5,000,000
Y|N|N|Total World Stock Index|VTWSX|Global|Stock|International|0.30|—||5.07|8.20|10.79|—|5.43%(06/26/2008)|628|0.30|0|0|World Stock|MSCI ACWI NR USD|3,000
Y|N|N|Telecommunication Services Index Admiral Shares|VTCAX|US|Stock|Sector|0.14|3.17||6.43|7.39|15.58|—|8.50%(03/11/2005)|5488|0.14|0|0|Communications|Morningstar SEC/Communication Svc TR USD|100,000
Y|N|N|Russell 2000 Growth Index Institutional Shares|VRTGX|US|Stock|Small-Cap Growth|0.08|0.54||1.96|8.40|—|—|12.89%(05/25/2011)|1853|0.08|0|0|Small Growth|Russell 2000 Growth TR USD|5,000,000
Y|N|N|500 Index|VFINX|US|Stock|Large-Cap Blend|0.17|1.83||12.94|17.06|16.52|8.08|11.09%(08/31/1976)|40|0.17|0|0|Large Blend|XIUSA04G92|3,000
Y|N|N|European Stock Index Admiral Shares|VEUSX|Developed|Stock|International|0.12|—||-3.74|-0.61|7.05|6.23|6.12%(08/13/2001)|579|0.12|0|0|Europe Stock|MSCI Europe NR USD|10,000
Y|Y|N|Tax-Managed Small-Cap Admiral Shares|VTMSX|US|Stock|Small-Cap Blend|0.12|1.12||3.01|9.44|19.15|9.89|10.99%(03/25/1999)|116|0.12|0|0|Small Blend|Russell 2000 TR USD|10,000
Y|N|N|Utilities Index Admiral Shares|VUIAX|US|Stock|Sector|0.14|3.22||21.55|20.73|14.92|9.78|10.51%(04/28/2004)|5489|0.14|0|0|Utilities|Morningstar SEC/Utilities TR USD|100,000
Y|N|N|Pacific Stock Index|VPACX|Asia|Stock|International|0.26|—||-2.55|1.21|7.15|5.62|2.25%(06/18/1990)|72|0.26|0|0|Diversified Pacific/Asia|MSCI Pacific NR USD|3,000
Y|N|N|S&P Mid-Cap 400 Index Institutional Shares|VSPMX|US|Stock|Mid-Cap Blend|0.08|1.39||8.42|11.61|—|—|12.85%(03/28/2011)|1842|0.08|0|0|Mid-Cap Blend|S&P MidCap 400 TR|5,000,000
Y|N|N|Large-Cap Index Institutional Shares|VLISX|US|Stock|Large-Cap Blend|0.08|1.86||12.83|16.94|16.82|—|8.35%(06/30/2005)|807|0.08|0|0|Large Blend|Russell 1000 TR USD|5,000,000
Y|N|N|Total International Bond Index|VTIBX|Global|Bond|International|0.23|1.05||7.14|6.02|—|—|4.57%(05/31/2013)|1231|0.23|0|0|World Bond|--|3,000
Y|N|N|Short-Term Corporate Bond Index Institutional Shares|VSTBX|US|Bond|Short-term Investment|0.09|1.58||2.04|2.08|—|—|3.57%(11/19/2009)|1645|0.09|0|0|Short-Term Bond|XIUSA000CT|5,000,000
Y|N|N|Total Stock Market Index Institutional Shares|VITSX|Global|Stock|Large-Cap Blend|0.04|1.82||11.75|16.06|17.08|8.74|7.16%(07/07/1997)|855|0.04|0|0|Large Blend|Russell 3000 TR USD|5,000,000
Y|N|N|Total International Stock Index Admiral Shares|VTIAX|Global|Stock|International|0.14|—||-1.30|1.09|—|—|5.70%(11/29/2010)|569|0.14|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|10,000
Y|N|N|Intermediate-Term Corporate Bond Index Admiral Shares|VICSX|US|Bond|Inter-term Investment|0.12|3.13||6.61|5.82|—|—|6.82%(03/02/2010)|1946|0.12|0.25|0|Corporate Bond|XIUSA000ME|10,000
Y|N|N|Total Stock Market Index Admiral Shares|VTSAX|Global|Stock|Large-Cap Blend|0.05|1.82||11.73|16.06|17.08|8.72|5.67%(11/13/2000)|585|0.05|0|0|Large Blend|Russell 3000 TR USD|10,000
Y|N|N|Russell 1000 Index Institutional Shares|VRNIX|US|Stock|Large-Cap Blend|0.08|1.83||12.56|16.68|—|—|16.74%(10/15/2010)|1848|0.08|0|0|Large Blend|Russell 1000 TR USD|5,000,000
Y|N|N|Short-Term Bond Index|VBISX|US|Bond|Short-term Investment|0.20|0.84||1.29|0.95|1.98|3.19|4.55%(03/01/1994)|132|0.20|0|0|Short-Term Bond|XIUSA000CT|3,000
Y|N|N|Emerging Markets Stock Index Admiral Shares|VEMAX|Emerging|Stock|International|0.15|—||4.71|3.79|5.09|—|6.98%(06/23/2006)|5533|0.15|0|0|Diversified Emerging Mkts|MSCI EM NR USD|10,000
Y|N|N|Small-Cap Growth Index Admiral|VSGAX|US|Stock|Small-Cap Growth|0.09|0.81||2.83|7.32|—|—|20.86%(09/27/2011)|5861|0.09|0|0|Small Growth|Russell 2000 Growth TR USD|10,000
Y|N|N|FTSE Social Index|VFTSX|US|Stock|Large-Cap Growth|0.28|1.52||13.62|18.59|17.35|7.05|3.02%(05/31/2000)|213|0.28|0|0|Large Growth|Russell 3000 TR USD|3,000
Y|N|N|Short-Term Inflation-Protected Securities Index|VTIPX|US|Bond|Short-term Government|0.20|-0.37||0.08|-0.23|—|—|-0.48%(10/16/2012)|1967|0.20|0|0|Inflation-Protected Bond|--|3,000
Y|N|N|Extended Market Index Institutional Plus Shares|VEMPX|US|Stock|Mid-Cap Blend|0.06|1.25||6.03|11.07|—|—|13.43%(01/14/2011)|1860|0.06|0|0|Mid-Cap Blend|S&P MidCap 400 TR|100,000,000
Y|N|N|Global ex-U.S. Real Estate Index Institutional Shares |VGRNX|Global|RealEstate|International|0.24|—||3.74|2.05|—|—|7.24%(04/19/2011)|1858|0.24|0.25|0.25|Global Real Estate|MSCI World/Real Estate NR USD|5,000,000
Y|N|N|Financials Index Admiral Shares|VFAIX|US|Stock|Sector|0.19|2.09||10.70|16.29|13.52|1.77|1.89%(02/04/2004)|5486|0.19|0|0|Financial|DJ US Financial TR USD|100,000
Y|N|N|High Dividend Yield Index|VHDYX|US|Stock|Large-Cap Value|0.19|2.82||14.11|16.48|17.13|—|6.91%(11/16/2006)|623|0.19|0|0|Large Value|XIUSA00115|3,000
Y|N|N|Emerging Markets Stock Index Institutional Shares|VEMIX|Emerging|Stock|International|0.12|—||4.74|3.85|5.14|10.45|8.89%(06/22/2000)|239|0.12|0|0|Diversified Emerging Mkts|MSCI EM NR USD|5,000,000
Y|N|N|Long-Term Bond Index Institutional Shares|VBLLX|US|Bond|Long-term Investment|0.07|3.93||15.39|13.04|8.67|—|7.61%(02/02/2006)|545|0.07|0|0|Long-Term Bond|XIUSA000BM|5,000,000
Y|N|N|European Stock Index|VEURX|Developed|Stock|International|0.26|—||-3.85|-0.73|6.91|6.11|7.61%(06/18/1990)|79|0.26|0|0|Europe Stock|MSCI Europe NR USD|3,000
Y|N|N|Value Index|VIVAX|US|Stock|Large-Cap Value|0.24|2.24||12.34|15.91|15.80|7.73|9.57%(11/02/1992)|6|0.24|0|0|Large Value|Russell 1000 Value TR USD|3,000
Y|N|N|Russell 2000 Value Index Institutional Shares|VRTVX|US|Stock|Small-Cap Value|0.08|1.88||1.68|7.87|—|—|18.76%(07/13/2012)|1852|0.08|0|0|Small Value|--|5,000,000
Y|N|N|Total International Bond Index Admiral Shares|VTABX|Global|Bond|International|0.20|1.10||7.13|6.08|—|—|4.63%(05/31/2013)|511|0.20|0|0|World Bond|--|10,000
Y|N|N|Small-Cap Index|NAESX|US|Stock|Small-Cap Blend|0.24|1.24||5.73|10.63|18.74|9.94|10.79%(10/03/1960)|48|0.24|0|0|Small Blend|XIUSA0010Y|3,000
Y|N|N|Long-Term Corporate Bond Index Institutional Shares|VLCIX|US|Bond|Long-term Investment|0.09|4.50||13.03|11.87|—|—|9.00%(11/19/2009)|1647|0.09|1.00|0|Corporate Bond|XIUSA000ME|5,000,000
Y|N|N|Consumer Staples Index Admiral Shares|VCSAX|US|Stock|Consumer|0.14|2.38||14.06|13.48|16.35|11.33|10.63%(01/30/2004)|5484|0.14|0|0|Consumer Defensive|S&P 1500 Cons Staples TR|100,000
Y|N|N|Mortgage-Backed Securities Index Institutional Shares|VMBIX|US|Bond|Inter-term Government|0.09|1.37||5.37|4.01|—|—|4.01%(10/31/2013)|1648|0.09|0|0|Intermediate-Term Bond|--|5,000,000
